
This hub-height turbulence-parameter file was generated by TurbSim (from OpenFAST-Unversioned from 08fffef240461a8334596179f1de462be43ad3e9) on 10-Oct-2023 at 15:20:08.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
  32.30    9.564    9.663    9.664   -1.385   -0.119   -1.836   -1.385   -0.119    0.218    2.543    0.164    2.652    1.279
  32.40    9.671    9.712    9.720   -0.895    0.398   -1.729   -0.895    0.398   -0.689    1.548   -0.357    1.975    0.866
  32.50   10.189   10.213   10.226   -0.701    0.519   -1.211   -0.701    0.519   -0.629    0.849   -0.364    1.114    0.558
  32.60   10.231   10.364   10.416   -1.654    1.037   -1.169   -1.654    1.037   -1.212    1.934   -1.715    2.589    1.427
  32.70   10.098   10.204   10.255   -1.467    1.024   -1.302   -1.467    1.024   -1.334    1.910   -1.502    2.448    1.386
  32.80    9.970   10.039   10.044   -1.174   -0.324   -1.430   -1.174   -0.324    0.464    1.679    0.381    1.764    0.892
  32.90    9.893    9.934    9.934   -0.900    0.088   -1.507   -0.900    0.088   -0.133    1.356   -0.079    1.544    0.682
  33.00   10.059   10.087   10.095   -0.752    0.411   -1.341   -0.752    0.411   -0.551    1.008   -0.309    1.266    0.595
  33.10   10.134   10.140   10.150   -0.346   -0.454   -1.266   -0.346   -0.454    0.575    0.437    0.157    0.964    0.370
  33.20   10.218   10.225   10.246    0.377   -0.643   -1.182    0.377   -0.643    0.760   -0.446   -0.243    0.976    0.457
  33.30   10.078   10.082   10.098    0.297   -0.556   -1.322    0.297   -0.556    0.735   -0.393   -0.165    1.073    0.425
  33.40    9.962    9.963    9.963    0.061    0.126   -1.438    0.061    0.126   -0.181   -0.088    0.008    1.043    0.101
  33.50    9.580    9.584    9.600   -0.274   -0.545   -1.820   -0.274   -0.545    0.992    0.499    0.149    1.841    0.560
  33.60    9.668    9.681    9.694   -0.501   -0.503   -1.732   -0.501   -0.503    0.871    0.867    0.252    1.751    0.627
  33.70    9.283    9.331    9.335   -0.949    0.238   -2.117   -0.949    0.238   -0.503    2.008   -0.226    2.719    1.041
