
This hub-height turbulence-parameter file was generated by TurbSim (from OpenFAST-Unversioned from 08fffef240461a8334596179f1de462be43ad3e9) on 10-Oct-2023 at 13:34:45.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   6.50   16.541   16.597   16.602   -1.361    0.429    1.541   -1.361    0.429    0.661   -2.098   -0.584    2.206    1.138
   6.60   16.685   16.686   16.708    0.165    0.855    1.685    0.165    0.855    1.441    0.279    0.141    1.799    0.737
   6.70   15.732   15.735   15.745   -0.331    0.549    0.732   -0.331    0.549    0.402   -0.242   -0.182    0.473    0.251
   6.80   16.592   16.621   16.657   -0.982    1.097    1.592   -0.982    1.097    1.746   -1.562   -1.077    2.350    1.289
   6.90   16.454   16.481   16.500   -0.935    0.802    1.454   -0.935    0.802    1.166   -1.360   -0.750    1.816    0.971
   7.00   15.584   15.684   15.752   -1.765    1.463    0.584   -1.765    1.463    0.855   -1.031   -2.583    2.800    1.455
   7.10   16.079   16.096   16.197   -0.745    1.798    1.079   -0.745    1.798    1.940   -0.805   -1.340    2.477    1.246
   7.20   15.371   15.371   15.430   -0.020    1.356    0.371   -0.020    1.356    0.503   -0.008   -0.027    0.988    0.252
   7.30   15.784   15.786   15.791   -0.238    0.398    0.784   -0.238    0.398    0.312   -0.187   -0.095    0.415    0.188
   7.40   16.246   16.257   16.348    0.613    1.723    1.246    0.613    1.723    2.147    0.764    1.057    2.449    1.256
   7.50   15.662   15.665   15.837    0.315    2.332    0.662    0.315    2.332    1.543    0.208    0.734    2.987    0.861
   7.60   15.676   15.694   15.884    0.744    2.453    0.676    0.744    2.453    1.658    0.503    1.824    3.514    1.258
   7.70   15.816   15.818   15.934    0.248    1.918    0.816    0.248    1.918    1.566    0.202    0.475    2.204    0.825
   7.80   15.354   15.379   15.494    0.875    1.883    0.354    0.875    1.883    0.667    0.310    1.646    2.217    0.902
   7.90   13.743   13.758   13.860    0.634    1.681   -1.257    0.634    1.681   -2.112   -0.797    1.066    2.403    1.248
   8.00   13.953   13.953   14.056   -0.103    1.700   -1.047   -0.103    1.700   -1.780    0.108   -0.175    1.999    0.896
   8.10   14.327   14.348   14.527    0.774    2.274   -0.673    0.774    2.274   -1.530   -0.521    1.761    3.112    1.195
   8.20   14.800   14.861   15.079    1.344    2.559   -0.200    1.344    2.559   -0.512   -0.269    3.439    4.197    1.743
   8.30   16.158   16.246   16.621    1.691    3.508    1.158    1.691    3.508    4.063    1.959    5.934    8.255    3.727
